Name,ConformationPlatforms,Group
Australian Cattle Dog,Ground,Herding
Australian Shepherd,Ground,Herding
Bearded Collie,Ground,Herding
Beauceron,Ground,Herding
Belgian Laekenois,Ground,Herding
Belgian Malinois,Ground,Herding
Belgian Sheepdog,Ground,Herding
Belgian Tervuren,Ground,Herding
Bergamasco,Ground,Herding
Berger Picard,Ground,Herding
Border Collie,Ground,Herding
Bouvier des Flandres,Ground,Herding
Briard,Ground,Herding
Canaan Dog,Ground,Herding
Cardigan Welsh Corgi,Table,Herding
Collie,Ground,Herding
Entlebucher Mountain Dog,Ramp|Ground,Herding
Finnish Lapphund,Ramp|Ground,Herding
German Shepherd Dog,Ground,Herding
Icelandic Sheepdog,Ramp|Ground,Herding
Miniature American Shepherd,Table,Herding
Norwegian Buhund,Ramp|Ground,Herding
Old English Sheepdog,Ground,Herding
Pembroke Welsh Corgi,Table,Herding
Polish Lowland Sheepdog,Ramp|Ground,Herding
Puli,Table,Herding
Pumi,Table,Herding
Pyrenean Shepherd,Table,Herding
Shetland Sheepdog,Table,Herding
Spanish Water Dog,Ramp|Ground,Herding
Swedish Vallhund,Table,Herding
Afghan Hound,Ground,Hound
American English Coonhound,Ground,Hound
American Foxhound,Ground,Hound
Azawakh,Ground,Hound
Basenji,Table,Hound
Basset Hound,Ramp,Hound
Beagle (13-inch),Table,Hound
Beagle (15-inch),Table,Hound
Black and Tan Coonhound,Ground,Hound
Bloodhound,Ground,Hound
Bluetick Coonhound,Ground,Hound
Borzoi,Ground,Hound
Cirneco Dell’Etna,Ramp,Hound
Dachshund (Long-Haired),Table,Hound
Dachshund (Smooth),Table,Hound
Dachshund (Wire-Haired),Table,Hound
English Foxhound,Ground,Hound
Grand Basset Griffon Vendeen,Ramp|Ground,Hound
Greyhound,Ground,Hound
Harrier,Ground,Hound
Ibizan Hound,Ground,Hound
Irish Wolfhound,Ground,Hound
Norwegian Elkhound,Ground,Hound
Otterhound,Ground,Hound
Petit Basset Griffon Vendeen,Table,Hound
Pharaoh Hound,Ground,Hound
Plott Hound,Ground,Hound
Portuguese Podengo Pequeno,Table,Hound
Redbone Coonhound,Ground,Hound
Rhodesian Ridgeback,Ground,Hound
Saluki,Ground,Hound
Scottish Deerhound,Ground,Hound
Sloughi,Ground,Hound
Treeing Walker Coonhound,Ground,Hound
Whippet,Table|Ground|Ramp,Hound
Affenpinscher,Table,Toy
Biewer Terrier,Table,Toy
Brussels Griffon,Table,Toy
Cavalier King Charles Spaniel,Table,Toy
Chihuahua (Long-Haired),Table,Toy
Chihuahua (Smooth),Table,Toy
Chinese Crested,Table,Toy
English Toy Spaniel (B&PC),Table,Toy
English Toy Spaniel (R&KC),Table,Toy
Havanese,Table,Toy
Italian Greyhound,Table,Toy
Japanese Chin,Table,Toy
Maltese,Table,Toy
Manchester Terrier (Toy),Table,Toy
Miniature Pinscher,Table,Toy
Papillon,Table,Toy
Pekingese,Table,Toy
Pomeranian,Table,Toy
Poodle (Toy),Table,Toy
Pug,Table,Toy
Shih Tzu,Table,Toy
Silky Terrier,Table,Toy
Toy Fox Terrier,Table,Toy
Yorkshire Terrier,Table,Toy
American Eskimo Dog,Table,NonSporting
Bichon Frise,Table,NonSporting
Boston Terrier,Table,NonSporting
Bulldog,Ramp,NonSporting
Chinese Shar-Pei,Ramp,NonSporting
Chow Chow,Ramp,NonSporting
Coton De Tulear,Table,NonSporting
Dalmatian,Ground,NonSporting
Finnish Spitz,Ramp|Ground,NonSporting
French Bulldog,Table,NonSporting
Keeshond,Ramp,NonSporting
Lhasa Apso,Table,NonSporting
Lowchen,Table,NonSporting
Norwegian Lundhund,Table,NonSporting
Poodle,Table,NonSporting
Schipperke,Table,NonSporting
Shiba Inu,Table,NonSporting
Tibetan Spaniel,Table,NonSporting
Tibetan Terrier,Table,NonSporting
Xoloitzcuintli,Table,NonSporting
American Water Spaniel,Ramp|Ground,Sporting
Barbet,Ground,Sporting
Boykin Spaniel,Ramp|Ground,Sporting
Brittany,Ground,Sporting
Chesapeake Bay Retriever,Ground,Sporting
Clumber Spaniel,Ramp,Sporting
Cocker Spaniel (ASCOB),Table,Sporting
Cocker Spaniel (Black),Table,Sporting
Cocker Spaniel (Parti),Table,Sporting
Curly-Coated Retriever,Ground,Sporting
English Cocker Spaniel,Table,Sporting
English Setter,Ground,Sporting
English Springer Spaniel,Ramp|Ground,Sporting
Field Spaniel,Ramp|Ground,Sporting
Flat-Coated Retriever,Ground,Sporting
German Shorthaired Pointer,Ground,Sporting
German Wirehaired Pointer,Ground,Sporting
Golden Retriever,Ground,Sporting
Gordon Setter,Ground,Sporting
Irish Red and White Setter,Ground,Sporting
Irish Setter,Ground,Sporting
Irish Water Spaniel,Ground,Sporting
Labrador Retriever,Ground,Sporting
Lagotto Romagnolo,Ramp|Ground,Sporting
Nederlandse Kooikerhondje,Table,Sporting
Nova Scotia Duck Tolling Retriever,Ramp|Ground,Sporting
Pointer,Ground,Sporting
Spinone Italiano,Ground,Sporting
Sussex Spaniel,Ramp,Sporting
Vizsla,Ground,Sporting
Weimaraner,Ground,Sporting
Welsh Springer Spaniel,Ramp|Ground,Sporting
Wirehaired Pointing Griffon,Ground,Sporting
Wirehaired Vizsla,Ground,Sporting
Airedale Terrier,Ground,Terrier
American Hairless Terrier,Table,Terrier
American Staffordshire Terrier,Ground|Ramp,Terrier
Australian Terrier,Table,Terrier
Bedlington Terrier,Table,Terrier
Border Terrier,Table,Terrier
Bull Terrier (Colored),Ground,Terrier
Bull Terrier (White),Ground,Terrier
Cairn Terrier,Table,Terrier
Cesky Terrier,Table,Terrier
Dandie Dinmont Terrier,Table,Terrier
Glen of Imaal Terrier,Table,Terrier
Irish Terrier,Ground|Ramp,Terrier
Kerry Blue Terrier,Ground|Ramp,Terrier
Lakeland Terrier,Table,Terrier
Manchester Terrier,Table,Terrier
Miniature Bull Terrier,Ground|Table|Ramp,Terrier
Miniature Schnauzer,Table,Terrier
Norfolk Terrier,Table,Terrier
Norwich Terrier,Table,Terrier
Parson Russell Terrier,Table,Terrier
Rat Terrier,Table,Terrier
Russell Terrier,Table,Terrier
Scottish Terrier,Table,Terrier
Sealyham Terrier,Table,Terrier
Skye Terrier,Table,Terrier
Smooth Fox Terrier,Table,Terrier
Soft Coated Wheaten Terrier,Ground|Ramp,Terrier
Staffordshire Bull Terrier,Ground|Ramp,Terrier
Welsh Terrier,Table,Terrier
West Highland White Terrier,Table,Terrier
Wire Fox Terrier,Table,Terrier
Akita,Ground,Working
Alaskan Malamute,Ground,Working
Anatolian Shepherd Dog,Ground,Working
Bernese Mountain Dog,Ground,Working
Black Russian Terrier,Ground,Working
Boerboel,Ground,Working
Boxer,Ground,Working
Bullmastiff,Ground,Working
Cane Corso,Ground,Working
Chinook,Ground,Working
Doberman Pinscher,Ground,Working
Dogo Argentino,Ground,Working
Dogue de Bordeaux,Ground,Working
German Pinscher,Ground,Working
Giant Schnauzer,Ground,Working
Great Dane,Ground,Working
Great Pyrenees,Ground,Working
Greater Swiss Mountain Dog,Ground,Working
Komondor,Ground,Working
Kuvasz,Ground,Working
Leonberger,Ground,Working
Mastiff,Ground,Working
Neapolitan Mastiff,Ground,Working
Newfoundland,Ground,Working
Portuguese Water Dog,Ground,Working
Rottweiler,Ground,Working
Saint Bernard,Ground,Working
Samoyed,Ground,Working
Siberian Husky,Ground,Working
Standard Schnauzer,Ramp|Ground,Working
Tibetan Mastiff,Ground,Working
Bracco Italiano,Ground,Miscellaneous
Dutch Shepherd,Ground,Miscellaneous
Lancashire Heeler,Table,Miscellaneous
Mudi,Table|Ramp,Miscellaneous
Norrbottenspets,Ramp|Ground,Miscellaneous
Peruvian Inca Orchid,Table,Miscellaneous
Portuguese Podengo,Ground,Miscellaneous
Russian Toy,Table,Miscellaneous
Teddy Roosevelt Terrier,Table,Miscellaneous
